Tuples,F(X),E(X),Type
"(0, 0, 1, 0, 1, 0, 6, 3, 4)",1.0,1.6666666666666667,Unique
"(4, 0, 0, 1, 0, 1, 0, 6, 3)",5.0,1.6666666666666667,rotation1
"(3, 4, 0, 0, 1, 0, 1, 0, 6)",13.0,1.6666666666666667,rotation2
"(6, 3, 4, 0, 0, 1, 0, 1, 0)",277.0,1.6666666666666667,rotation3
"(0, 6, 3, 4, 0, 0, 1, 0, 1)",92.0,1.6666666666666667,rotation4
"(1, 0, 6, 3, 4, 0, 0, 1, 0)",61.0,1.6666666666666667,rotation5
"(0, 1, 0, 6, 3, 4, 0, 0, 1)",20.0,1.6666666666666667,rotation6
"(1, 0, 1, 0, 6, 3, 4, 0, 0)",13.0,1.6666666666666667,rotation7
"(0, 1, 0, 1, 0, 6, 3, 4, 0)",4.0,1.6666666666666667,rotation8
"(0, 0, 1, 0, 3, 1, 1, 5, 4)",1.0,1.6666666666666667,Unique
"(4, 0, 0, 1, 0, 3, 1, 1, 5)",5.0,1.6666666666666667,rotation1
"(5, 4, 0, 0, 1, 0, 3, 1, 1)",53.0,1.6666666666666667,rotation2
"(1, 5, 4, 0, 0, 1, 0, 3, 1)",35.0,1.6666666666666667,rotation3
"(1, 1, 5, 4, 0, 0, 1, 0, 3)",23.0,1.6666666666666667,rotation4
"(3, 1, 1, 5, 4, 0, 0, 1, 0)",61.0,1.6666666666666667,rotation5
"(0, 3, 1, 1, 5, 4, 0, 0, 1)",20.0,1.6666666666666667,rotation6
"(1, 0, 3, 1, 1, 5, 4, 0, 0)",13.0,1.6666666666666667,rotation7
"(0, 1, 0, 3, 1, 1, 5, 4, 0)",4.0,1.6666666666666667,rotation8
"(0, 0, 2, 2, 0, 8, 0, 0, 3)",5.0,1.6666666666666667,Unique
"(3, 0, 0, 2, 2, 0, 8, 0, 0)",13.0,1.6666666666666667,rotation1
"(0, 3, 0, 0, 2, 2, 0, 8, 0)",4.0,1.6666666666666667,rotation2
"(0, 0, 3, 0, 0, 2, 2, 0, 8)",1.0,1.6666666666666667,rotation3
"(8, 0, 0, 3, 0, 0, 2, 2, 0)",85.0,1.6666666666666667,rotation4
"(0, 8, 0, 0, 3, 0, 0, 2, 2)",28.0,1.6666666666666667,rotation5
"(2, 0, 8, 0, 0, 3, 0, 0, 2)",37.0,1.6666666666666667,rotation6
"(2, 2, 0, 8, 0, 0, 3, 0, 0)",49.0,1.6666666666666667,rotation7
"(0, 2, 2, 0, 8, 0, 0, 3, 0)",16.0,1.6666666666666667,rotation8
"(0, 0, 3, 2, 0, 3, 4, 2, 2)",1.0,1.7777777777777777,Unique
"(2, 0, 0, 3, 2, 0, 3, 4, 2)",1.0,1.7777777777777777,rotation1
"(2, 2, 0, 0, 3, 2, 0, 3, 4)",1.0,1.7777777777777777,rotation2
"(4, 2, 2, 0, 0, 3, 2, 0, 3)",5.0,1.7777777777777777,rotation3
"(3, 4, 2, 2, 0, 0, 3, 2, 0)",13.0,1.7777777777777777,rotation4
"(0, 3, 4, 2, 2, 0, 0, 3, 2)",4.0,1.7777777777777777,rotation5
"(2, 0, 3, 4, 2, 2, 0, 0, 3)",5.0,1.7777777777777777,rotation6
"(3, 2, 0, 3, 4, 2, 2, 0, 0)",13.0,1.7777777777777777,rotation7
"(0, 3, 2, 0, 3, 4, 2, 2, 0)",4.0,1.7777777777777777,rotation8
"(0, 0, 3, 4, 0, 0, 3, 4, 2)",1.0,1.7777777777777777,Unique
"(2, 0, 0, 3, 4, 0, 0, 3, 4)",1.0,1.7777777777777777,rotation1
"(4, 2, 0, 0, 3, 4, 0, 0, 3)",5.0,1.7777777777777777,rotation2
"(3, 4, 2, 0, 0, 3, 4, 0, 0)",13.0,1.7777777777777777,rotation3
"(0, 3, 4, 2, 0, 0, 3, 4, 0)",4.0,1.7777777777777777,rotation4
"(0, 0, 3, 4, 2, 0, 0, 3, 4)",1.0,1.7777777777777777,rotation5
"(4, 0, 0, 3, 4, 2, 0, 0, 3)",5.0,1.7777777777777777,rotation6
"(3, 4, 0, 0, 3, 4, 2, 0, 0)",13.0,1.7777777777777777,rotation7
"(0, 3, 4, 0, 0, 3, 4, 2, 0)",4.0,1.7777777777777777,rotation8
"(0, 0, 3, 4, 2, 2, 2, 2, 2)",1.0,1.8888888888888888,Unique
"(2, 0, 0, 3, 4, 2, 2, 2, 2)",1.0,1.8888888888888888,rotation1
"(2, 2, 0, 0, 3, 4, 2, 2, 2)",1.0,1.8888888888888888,rotation2
"(2, 2, 2, 0, 0, 3, 4, 2, 2)",1.0,1.8888888888888888,rotation3
"(2, 2, 2, 2, 0, 0, 3, 4, 2)",1.0,1.8888888888888888,rotation4
"(2, 2, 2, 2, 2, 0, 0, 3, 4)",1.0,1.8888888888888888,rotation5
"(4, 2, 2, 2, 2, 2, 0, 0, 3)",5.0,1.8888888888888888,rotation6
"(3, 4, 2, 2, 2, 2, 2, 0, 0)",13.0,1.8888888888888888,rotation7
"(0, 3, 4, 2, 2, 2, 2, 2, 0)",4.0,1.8888888888888888,rotation8
"(0, 1, 1, 2, 3, 2, 0, 3, 3)",2.0,1.6666666666666667,Unique
"(3, 0, 1, 1, 2, 3, 2, 0, 3)",5.0,1.6666666666666667,rotation1
"(3, 3, 0, 1, 1, 2, 3, 2, 0)",13.0,1.6666666666666667,rotation2
"(0, 3, 3, 0, 1, 1, 2, 3, 2)",4.0,1.6666666666666667,rotation3
"(2, 0, 3, 3, 0, 1, 1, 2, 3)",5.0,1.6666666666666667,rotation4
"(3, 2, 0, 3, 3, 0, 1, 1, 2)",13.0,1.6666666666666667,rotation5
"(2, 3, 2, 0, 3, 3, 0, 1, 1)",17.0,1.6666666666666667,rotation6
"(1, 2, 3, 2, 0, 3, 3, 0, 1)",11.0,1.6666666666666667,rotation7
"(1, 1, 2, 3, 2, 0, 3, 3, 0)",7.0,1.6666666666666667,rotation8
"(0, 1, 1, 2, 3, 4, 2, 2, 1)",2.0,1.7777777777777777,Unique
"(1, 0, 1, 1, 2, 3, 4, 2, 2)",1.0,1.7777777777777777,rotation1
"(2, 1, 0, 1, 1, 2, 3, 4, 2)",1.0,1.7777777777777777,rotation2
"(2, 2, 1, 0, 1, 1, 2, 3, 4)",1.0,1.7777777777777777,rotation3
"(4, 2, 2, 1, 0, 1, 1, 2, 3)",5.0,1.7777777777777777,rotation4
"(3, 4, 2, 2, 1, 0, 1, 1, 2)",13.0,1.7777777777777777,rotation5
"(2, 3, 4, 2, 2, 1, 0, 1, 1)",17.0,1.7777777777777777,rotation6
"(1, 2, 3, 4, 2, 2, 1, 0, 1)",11.0,1.7777777777777777,rotation7
"(1, 1, 2, 3, 4, 2, 2, 1, 0)",7.0,1.7777777777777777,rotation8
