Tuples,F(X),E(X),Type
"(0, 0, 1, 4, 5, 2, 2, 0, 1, 1)",71.0,1.6,Unique
"(1, 0, 0, 1, 4, 5, 2, 2, 0, 1)",47.0,1.6,rotation1
"(1, 1, 0, 0, 1, 4, 5, 2, 2, 0)",31.0,1.6,rotation2
"(0, 1, 1, 0, 0, 1, 4, 5, 2, 2)",10.0,1.6,rotation3
"(2, 0, 1, 1, 0, 0, 1, 4, 5, 2)",13.0,1.6,rotation4
"(2, 2, 0, 1, 1, 0, 0, 1, 4, 5)",17.0,1.6,rotation5
"(5, 2, 2, 0, 1, 1, 0, 0, 1, 4)",181.0,1.6,rotation6
"(4, 5, 2, 2, 0, 1, 1, 0, 0, 1)",965.0,1.6,rotation7
"(1, 4, 5, 2, 2, 0, 1, 1, 0, 0)",643.0,1.6,rotation8
"(0, 1, 4, 5, 2, 2, 0, 1, 1, 0)",214.0,1.6,rotation9
"(0, 0, 2, 0, 1, 6, 2, 1, 3, 1)",17.0,1.6,Unique
"(1, 0, 0, 2, 0, 1, 6, 2, 1, 3)",11.0,1.6,rotation1
"(3, 1, 0, 0, 2, 0, 1, 6, 2, 1)",29.0,1.6,rotation2
"(1, 3, 1, 0, 0, 2, 0, 1, 6, 2)",19.0,1.6,rotation3
"(2, 1, 3, 1, 0, 0, 2, 0, 1, 6)",25.0,1.6,rotation4
"(6, 2, 1, 3, 1, 0, 0, 2, 0, 1)",533.0,1.6,rotation5
"(1, 6, 2, 1, 3, 1, 0, 0, 2, 0)",355.0,1.6,rotation6
"(0, 1, 6, 2, 1, 3, 1, 0, 0, 2)",118.0,1.6,rotation7
"(2, 0, 1, 6, 2, 1, 3, 1, 0, 0)",157.0,1.6,rotation8
"(0, 2, 0, 1, 6, 2, 1, 3, 1, 0)",52.0,1.6,rotation9
"(0, 0, 2, 1, 0, 0, 7, 3, 1, 2)",13.0,1.6,Unique
"(2, 0, 0, 2, 1, 0, 0, 7, 3, 1)",17.0,1.6,rotation1
"(1, 2, 0, 0, 2, 1, 0, 0, 7, 3)",11.0,1.6,rotation2
"(3, 1, 2, 0, 0, 2, 1, 0, 0, 7)",29.0,1.6,rotation3
"(7, 3, 1, 2, 0, 0, 2, 1, 0, 0)",1237.0,1.6,rotation4
"(0, 7, 3, 1, 2, 0, 0, 2, 1, 0)",412.0,1.6,rotation5
"(0, 0, 7, 3, 1, 2, 0, 0, 2, 1)",137.0,1.6,rotation6
"(1, 0, 0, 7, 3, 1, 2, 0, 0, 2)",91.0,1.6,rotation7
"(2, 1, 0, 0, 7, 3, 1, 2, 0, 0)",121.0,1.6,rotation8
"(0, 2, 1, 0, 0, 7, 3, 1, 2, 0)",40.0,1.6,rotation9
"(0, 0, 2, 2, 0, 8, 2, 0, 0, 3)",5.0,1.7,Unique
"(3, 0, 0, 2, 2, 0, 8, 2, 0, 0)",13.0,1.7,rotation1
"(0, 3, 0, 0, 2, 2, 0, 8, 2, 0)",4.0,1.7,rotation2
"(0, 0, 3, 0, 0, 2, 2, 0, 8, 2)",1.0,1.7,rotation3
"(2, 0, 0, 3, 0, 0, 2, 2, 0, 8)",1.0,1.7,rotation4
"(8, 2, 0, 0, 3, 0, 0, 2, 2, 0)",85.0,1.7,rotation5
"(0, 8, 2, 0, 0, 3, 0, 0, 2, 2)",28.0,1.7,rotation6
"(2, 0, 8, 2, 0, 0, 3, 0, 0, 2)",37.0,1.7,rotation7
"(2, 2, 0, 8, 2, 0, 0, 3, 0, 0)",49.0,1.7,rotation8
"(0, 2, 2, 0, 8, 2, 0, 0, 3, 0)",16.0,1.7,rotation9
"(0, 0, 3, 1, 2, 1, 4, 1, 3, 1)",17.0,1.6,Unique
"(1, 0, 0, 3, 1, 2, 1, 4, 1, 3)",11.0,1.6,rotation1
"(3, 1, 0, 0, 3, 1, 2, 1, 4, 1)",29.0,1.6,rotation2
"(1, 3, 1, 0, 0, 3, 1, 2, 1, 4)",19.0,1.6,rotation3
"(4, 1, 3, 1, 0, 0, 3, 1, 2, 1)",101.0,1.6,rotation4
"(1, 4, 1, 3, 1, 0, 0, 3, 1, 2)",67.0,1.6,rotation5
"(2, 1, 4, 1, 3, 1, 0, 0, 3, 1)",89.0,1.6,rotation6
"(1, 2, 1, 4, 1, 3, 1, 0, 0, 3)",59.0,1.6,rotation7
"(3, 1, 2, 1, 4, 1, 3, 1, 0, 0)",157.0,1.6,rotation8
"(0, 3, 1, 2, 1, 4, 1, 3, 1, 0)",52.0,1.6,rotation9
"(0, 0, 3, 2, 0, 3, 2, 0, 3, 4)",1.0,1.7,Unique
"(4, 0, 0, 3, 2, 0, 3, 2, 0, 3)",5.0,1.7,rotation1
"(3, 4, 0, 0, 3, 2, 0, 3, 2, 0)",13.0,1.7,rotation2
"(0, 3, 4, 0, 0, 3, 2, 0, 3, 2)",4.0,1.7,rotation3
"(2, 0, 3, 4, 0, 0, 3, 2, 0, 3)",5.0,1.7,rotation4
"(3, 2, 0, 3, 4, 0, 0, 3, 2, 0)",13.0,1.7,rotation5
"(0, 3, 2, 0, 3, 4, 0, 0, 3, 2)",4.0,1.7,rotation6
"(2, 0, 3, 2, 0, 3, 4, 0, 0, 3)",5.0,1.7,rotation7
"(3, 2, 0, 3, 2, 0, 3, 4, 0, 0)",13.0,1.7,rotation8
"(0, 3, 2, 0, 3, 2, 0, 3, 4, 0)",4.0,1.7,rotation9
"(0, 0, 3, 2, 0, 3, 4, 2, 2, 2)",1.0,1.8,Unique
"(2, 0, 0, 3, 2, 0, 3, 4, 2, 2)",1.0,1.8,rotation1
"(2, 2, 0, 0, 3, 2, 0, 3, 4, 2)",1.0,1.8,rotation2
"(2, 2, 2, 0, 0, 3, 2, 0, 3, 4)",1.0,1.8,rotation3
"(4, 2, 2, 2, 0, 0, 3, 2, 0, 3)",5.0,1.8,rotation4
"(3, 4, 2, 2, 2, 0, 0, 3, 2, 0)",13.0,1.8,rotation5
"(0, 3, 4, 2, 2, 2, 0, 0, 3, 2)",4.0,1.8,rotation6
"(2, 0, 3, 4, 2, 2, 2, 0, 0, 3)",5.0,1.8,rotation7
"(3, 2, 0, 3, 4, 2, 2, 2, 0, 0)",13.0,1.8,rotation8
"(0, 3, 2, 0, 3, 4, 2, 2, 2, 0)",4.0,1.8,rotation9
"(0, 0, 3, 3, 0, 1, 1, 2, 3, 4)",1.0,1.7,Unique
"(4, 0, 0, 3, 3, 0, 1, 1, 2, 3)",5.0,1.7,rotation1
"(3, 4, 0, 0, 3, 3, 0, 1, 1, 2)",13.0,1.7,rotation2
"(2, 3, 4, 0, 0, 3, 3, 0, 1, 1)",17.0,1.7,rotation3
"(1, 2, 3, 4, 0, 0, 3, 3, 0, 1)",11.0,1.7,rotation4
"(1, 1, 2, 3, 4, 0, 0, 3, 3, 0)",7.0,1.7,rotation5
"(0, 1, 1, 2, 3, 4, 0, 0, 3, 3)",2.0,1.7,rotation6
"(3, 0, 1, 1, 2, 3, 4, 0, 0, 3)",5.0,1.7,rotation7
"(3, 3, 0, 1, 1, 2, 3, 4, 0, 0)",13.0,1.7,rotation8
"(0, 3, 3, 0, 1, 1, 2, 3, 4, 0)",4.0,1.7,rotation9
"(0, 0, 3, 4, 0, 0, 3, 4, 2, 2)",1.0,1.8,Unique
"(2, 0, 0, 3, 4, 0, 0, 3, 4, 2)",1.0,1.8,rotation1
"(2, 2, 0, 0, 3, 4, 0, 0, 3, 4)",1.0,1.8,rotation2
"(4, 2, 2, 0, 0, 3, 4, 0, 0, 3)",5.0,1.8,rotation3
"(3, 4, 2, 2, 0, 0, 3, 4, 0, 0)",13.0,1.8,rotation4
"(0, 3, 4, 2, 2, 0, 0, 3, 4, 0)",4.0,1.8,rotation5
"(0, 0, 3, 4, 2, 2, 0, 0, 3, 4)",1.0,1.8,rotation6
"(4, 0, 0, 3, 4, 2, 2, 0, 0, 3)",5.0,1.8,rotation7
"(3, 4, 0, 0, 3, 4, 2, 2, 0, 0)",13.0,1.8,rotation8
"(0, 3, 4, 0, 0, 3, 4, 2, 2, 0)",4.0,1.8,rotation9
"(0, 0, 3, 4, 2, 0, 0, 3, 4, 2)",1.0,1.8,Unique
"(2, 0, 0, 3, 4, 2, 0, 0, 3, 4)",1.0,1.8,rotation1
"(4, 2, 0, 0, 3, 4, 2, 0, 0, 3)",5.0,1.8,rotation2
"(3, 4, 2, 0, 0, 3, 4, 2, 0, 0)",13.0,1.8,rotation3
"(0, 3, 4, 2, 0, 0, 3, 4, 2, 0)",4.0,1.8,rotation4
"(0, 0, 3, 4, 2, 2, 2, 2, 2, 2)",1.0,1.9,Unique
"(2, 0, 0, 3, 4, 2, 2, 2, 2, 2)",1.0,1.9,rotation1
"(2, 2, 0, 0, 3, 4, 2, 2, 2, 2)",1.0,1.9,rotation2
"(2, 2, 2, 0, 0, 3, 4, 2, 2, 2)",1.0,1.9,rotation3
"(2, 2, 2, 2, 0, 0, 3, 4, 2, 2)",1.0,1.9,rotation4
"(2, 2, 2, 2, 2, 0, 0, 3, 4, 2)",1.0,1.9,rotation5
"(2, 2, 2, 2, 2, 2, 0, 0, 3, 4)",1.0,1.9,rotation6
"(4, 2, 2, 2, 2, 2, 2, 0, 0, 3)",5.0,1.9,rotation7
"(3, 4, 2, 2, 2, 2, 2, 2, 0, 0)",13.0,1.9,rotation8
"(0, 3, 4, 2, 2, 2, 2, 2, 2, 0)",4.0,1.9,rotation9
"(0, 1, 0, 1, 3, 2, 2, 2, 0, 5)",8.0,1.6,Unique
"(5, 0, 1, 0, 1, 3, 2, 2, 2, 0)",85.0,1.6,rotation1
"(0, 5, 0, 1, 0, 1, 3, 2, 2, 2)",28.0,1.6,rotation2
"(2, 0, 5, 0, 1, 0, 1, 3, 2, 2)",37.0,1.6,rotation3
"(2, 2, 0, 5, 0, 1, 0, 1, 3, 2)",49.0,1.6,rotation4
"(2, 2, 2, 0, 5, 0, 1, 0, 1, 3)",65.0,1.6,rotation5
"(3, 2, 2, 2, 0, 5, 0, 1, 0, 1)",173.0,1.6,rotation6
"(1, 3, 2, 2, 2, 0, 5, 0, 1, 0)",115.0,1.6,rotation7
"(0, 1, 3, 2, 2, 2, 0, 5, 0, 1)",38.0,1.6,rotation8
"(1, 0, 1, 3, 2, 2, 2, 0, 5, 0)",25.0,1.6,rotation9
"(0, 1, 0, 2, 0, 2, 7, 1, 2, 1)",20.0,1.6,Unique
"(1, 0, 1, 0, 2, 0, 2, 7, 1, 2)",13.0,1.6,rotation1
"(2, 1, 0, 1, 0, 2, 0, 2, 7, 1)",17.0,1.6,rotation2
"(1, 2, 1, 0, 1, 0, 2, 0, 2, 7)",11.0,1.6,rotation3
"(7, 1, 2, 1, 0, 1, 0, 2, 0, 2)",469.0,1.6,rotation4
"(2, 7, 1, 2, 1, 0, 1, 0, 2, 0)",625.0,1.6,rotation5
"(0, 2, 7, 1, 2, 1, 0, 1, 0, 2)",208.0,1.6,rotation6
"(2, 0, 2, 7, 1, 2, 1, 0, 1, 0)",277.0,1.6,rotation7
"(0, 2, 0, 2, 7, 1, 2, 1, 0, 1)",92.0,1.6,rotation8
"(1, 0, 2, 0, 2, 7, 1, 2, 1, 0)",61.0,1.6,rotation9
"(0, 1, 0, 6, 1, 0, 1, 0, 6, 1)",20.0,1.6,Unique
"(1, 0, 1, 0, 6, 1, 0, 1, 0, 6)",13.0,1.6,rotation1
"(6, 1, 0, 1, 0, 6, 1, 0, 1, 0)",277.0,1.6,rotation2
"(0, 6, 1, 0, 1, 0, 6, 1, 0, 1)",92.0,1.6,rotation3
"(1, 0, 6, 1, 0, 1, 0, 6, 1, 0)",61.0,1.6,rotation4
"(0, 1, 0, 6, 1, 0, 3, 1, 1, 3)",20.0,1.6,Unique
"(3, 0, 1, 0, 6, 1, 0, 3, 1, 1)",53.0,1.6,rotation1
"(1, 3, 0, 1, 0, 6, 1, 0, 3, 1)",35.0,1.6,rotation2
"(1, 1, 3, 0, 1, 0, 6, 1, 0, 3)",23.0,1.6,rotation3
"(3, 1, 1, 3, 0, 1, 0, 6, 1, 0)",61.0,1.6,rotation4
"(0, 3, 1, 1, 3, 0, 1, 0, 6, 1)",20.0,1.6,rotation5
"(1, 0, 3, 1, 1, 3, 0, 1, 0, 6)",13.0,1.6,rotation6
"(6, 1, 0, 3, 1, 1, 3, 0, 1, 0)",277.0,1.6,rotation7
"(0, 6, 1, 0, 3, 1, 1, 3, 0, 1)",92.0,1.6,rotation8
"(1, 0, 6, 1, 0, 3, 1, 1, 3, 0)",61.0,1.6,rotation9
"(0, 1, 1, 1, 3, 4, 1, 3, 1, 1)",26.0,1.6,Unique
"(1, 0, 1, 1, 1, 3, 4, 1, 3, 1)",17.0,1.6,rotation1
"(1, 1, 0, 1, 1, 1, 3, 4, 1, 3)",11.0,1.6,rotation2
"(3, 1, 1, 0, 1, 1, 1, 3, 4, 1)",29.0,1.6,rotation3
"(1, 3, 1, 1, 0, 1, 1, 1, 3, 4)",19.0,1.6,rotation4
"(4, 1, 3, 1, 1, 0, 1, 1, 1, 3)",101.0,1.6,rotation5
"(3, 4, 1, 3, 1, 1, 0, 1, 1, 1)",269.0,1.6,rotation6
"(1, 3, 4, 1, 3, 1, 1, 0, 1, 1)",179.0,1.6,rotation7
"(1, 1, 3, 4, 1, 3, 1, 1, 0, 1)",119.0,1.6,rotation8
"(1, 1, 1, 3, 4, 1, 3, 1, 1, 0)",79.0,1.6,rotation9
"(0, 1, 1, 2, 3, 2, 0, 3, 4, 1)",2.0,1.7,Unique
"(1, 0, 1, 1, 2, 3, 2, 0, 3, 4)",1.0,1.7,rotation1
"(4, 1, 0, 1, 1, 2, 3, 2, 0, 3)",5.0,1.7,rotation2
"(3, 4, 1, 0, 1, 1, 2, 3, 2, 0)",13.0,1.7,rotation3
"(0, 3, 4, 1, 0, 1, 1, 2, 3, 2)",4.0,1.7,rotation4
"(2, 0, 3, 4, 1, 0, 1, 1, 2, 3)",5.0,1.7,rotation5
"(3, 2, 0, 3, 4, 1, 0, 1, 1, 2)",13.0,1.7,rotation6
"(2, 3, 2, 0, 3, 4, 1, 0, 1, 1)",17.0,1.7,rotation7
"(1, 2, 3, 2, 0, 3, 4, 1, 0, 1)",11.0,1.7,rotation8
"(1, 1, 2, 3, 2, 0, 3, 4, 1, 0)",7.0,1.7,rotation9
"(0, 1, 1, 2, 3, 4, 2, 2, 2, 1)",2.0,1.8,Unique
"(1, 0, 1, 1, 2, 3, 4, 2, 2, 2)",1.0,1.8,rotation1
"(2, 1, 0, 1, 1, 2, 3, 4, 2, 2)",1.0,1.8,rotation2
"(2, 2, 1, 0, 1, 1, 2, 3, 4, 2)",1.0,1.8,rotation3
"(2, 2, 2, 1, 0, 1, 1, 2, 3, 4)",1.0,1.8,rotation4
"(4, 2, 2, 2, 1, 0, 1, 1, 2, 3)",5.0,1.8,rotation5
"(3, 4, 2, 2, 2, 1, 0, 1, 1, 2)",13.0,1.8,rotation6
"(2, 3, 4, 2, 2, 2, 1, 0, 1, 1)",17.0,1.8,rotation7
"(1, 2, 3, 4, 2, 2, 2, 1, 0, 1)",11.0,1.8,rotation8
"(1, 1, 2, 3, 4, 2, 2, 2, 1, 0)",7.0,1.8,rotation9
