Tuples,F(X),E(X),Type
"(0, 0, 0, 0, 1, 0, 5, 0, 5, 5)",5.0,1.6,Unique
"(5, 0, 0, 0, 0, 1, 0, 5, 0, 5)",53.0,1.6,rotation1
"(5, 5, 0, 0, 0, 0, 1, 0, 5, 0)",565.0,1.6,rotation2
"(0, 5, 5, 0, 0, 0, 0, 1, 0, 5)",188.0,1.6,rotation3
"(5, 0, 5, 5, 0, 0, 0, 0, 1, 0)",2005.0,1.6,rotation4
"(0, 5, 0, 5, 5, 0, 0, 0, 0, 1)",668.0,1.6,rotation5
"(1, 0, 5, 0, 5, 5, 0, 0, 0, 0)",445.0,1.6,rotation6
"(0, 1, 0, 5, 0, 5, 5, 0, 0, 0)",148.0,1.6,rotation7
"(0, 0, 1, 0, 5, 0, 5, 5, 0, 0)",49.0,1.6,rotation8
"(0, 0, 0, 1, 0, 5, 0, 5, 5, 0)",16.0,1.6,rotation9
"(0, 0, 0, 0, 1, 5, 1, 4, 4, 1)",11.0,1.6,Unique
"(1, 0, 0, 0, 0, 1, 5, 1, 4, 4)",7.0,1.6,rotation1
"(4, 1, 0, 0, 0, 0, 1, 5, 1, 4)",37.0,1.6,rotation2
"(4, 4, 1, 0, 0, 0, 0, 1, 5, 1)",197.0,1.6,rotation3
"(1, 4, 4, 1, 0, 0, 0, 0, 1, 5)",131.0,1.6,rotation4
"(5, 1, 4, 4, 1, 0, 0, 0, 0, 1)",1397.0,1.6,rotation5
"(1, 5, 1, 4, 4, 1, 0, 0, 0, 0)",931.0,1.6,rotation6
"(0, 1, 5, 1, 4, 4, 1, 0, 0, 0)",310.0,1.6,rotation7
"(0, 0, 1, 5, 1, 4, 4, 1, 0, 0)",103.0,1.6,rotation8
"(0, 0, 0, 1, 5, 1, 4, 4, 1, 0)",34.0,1.6,rotation9
"(0, 0, 0, 0, 3, 0, 0, 1, 7, 5)",5.0,1.6,Unique
"(5, 0, 0, 0, 0, 3, 0, 0, 1, 7)",53.0,1.6,rotation1
"(7, 5, 0, 0, 0, 0, 3, 0, 0, 1)",2261.0,1.6,rotation2
"(1, 7, 5, 0, 0, 0, 0, 3, 0, 0)",1507.0,1.6,rotation3
"(0, 1, 7, 5, 0, 0, 0, 0, 3, 0)",502.0,1.6,rotation4
"(0, 0, 1, 7, 5, 0, 0, 0, 0, 3)",167.0,1.6,rotation5
"(3, 0, 0, 1, 7, 5, 0, 0, 0, 0)",445.0,1.6,rotation6
"(0, 3, 0, 0, 1, 7, 5, 0, 0, 0)",148.0,1.6,rotation7
"(0, 0, 3, 0, 0, 1, 7, 5, 0, 0)",49.0,1.6,rotation8
"(0, 0, 0, 3, 0, 0, 1, 7, 5, 0)",16.0,1.6,rotation9
"(0, 0, 0, 0, 4, 3, 3, 3, 1, 2)",13.0,1.6,Unique
"(2, 0, 0, 0, 0, 4, 3, 3, 3, 1)",17.0,1.6,rotation1
"(1, 2, 0, 0, 0, 0, 4, 3, 3, 3)",11.0,1.6,rotation2
"(3, 1, 2, 0, 0, 0, 0, 4, 3, 3)",29.0,1.6,rotation3
"(3, 3, 1, 2, 0, 0, 0, 0, 4, 3)",77.0,1.6,rotation4
"(3, 3, 3, 1, 2, 0, 0, 0, 0, 4)",205.0,1.6,rotation5
"(4, 3, 3, 3, 1, 2, 0, 0, 0, 0)",1093.0,1.6,rotation6
"(0, 4, 3, 3, 3, 1, 2, 0, 0, 0)",364.0,1.6,rotation7
"(0, 0, 4, 3, 3, 3, 1, 2, 0, 0)",121.0,1.6,rotation8
"(0, 0, 0, 4, 3, 3, 3, 1, 2, 0)",40.0,1.6,rotation9
"(0, 0, 0, 0, 8, 0, 5, 0, 2, 1)",29.0,1.6,Unique
"(1, 0, 0, 0, 0, 8, 0, 5, 0, 2)",19.0,1.6,rotation1
"(2, 1, 0, 0, 0, 0, 8, 0, 5, 0)",25.0,1.6,rotation2
"(0, 2, 1, 0, 0, 0, 0, 8, 0, 5)",8.0,1.6,rotation3
"(5, 0, 2, 1, 0, 0, 0, 0, 8, 0)",85.0,1.6,rotation4
"(0, 5, 0, 2, 1, 0, 0, 0, 0, 8)",28.0,1.6,rotation5
"(8, 0, 5, 0, 2, 1, 0, 0, 0, 0)",2389.0,1.6,rotation6
"(0, 8, 0, 5, 0, 2, 1, 0, 0, 0)",796.0,1.6,rotation7
"(0, 0, 8, 0, 5, 0, 2, 1, 0, 0)",265.0,1.6,rotation8
"(0, 0, 0, 8, 0, 5, 0, 2, 1, 0)",88.0,1.6,rotation9
"(0, 0, 0, 0, 10, 0, 0, 1, 4, 1)",29.0,1.6,Unique
"(1, 0, 0, 0, 0, 10, 0, 0, 1, 4)",19.0,1.6,rotation1
"(4, 1, 0, 0, 0, 0, 10, 0, 0, 1)",101.0,1.6,rotation2
"(1, 4, 1, 0, 0, 0, 0, 10, 0, 0)",67.0,1.6,rotation3
"(0, 1, 4, 1, 0, 0, 0, 0, 10, 0)",22.0,1.6,rotation4
"(0, 0, 1, 4, 1, 0, 0, 0, 0, 10)",7.0,1.6,rotation5
"(10, 0, 0, 1, 4, 1, 0, 0, 0, 0)",2389.0,1.6,rotation6
"(0, 10, 0, 0, 1, 4, 1, 0, 0, 0)",796.0,1.6,rotation7
"(0, 0, 10, 0, 0, 1, 4, 1, 0, 0)",265.0,1.6,rotation8
"(0, 0, 0, 10, 0, 0, 1, 4, 1, 0)",88.0,1.6,rotation9
"(0, 0, 0, 4, 1, 2, 2, 2, 0, 5)",8.0,1.6,Unique
"(5, 0, 0, 0, 4, 1, 2, 2, 2, 0)",85.0,1.6,rotation1
"(0, 5, 0, 0, 0, 4, 1, 2, 2, 2)",28.0,1.6,rotation2
"(2, 0, 5, 0, 0, 0, 4, 1, 2, 2)",37.0,1.6,rotation3
"(2, 2, 0, 5, 0, 0, 0, 4, 1, 2)",49.0,1.6,rotation4
"(2, 2, 2, 0, 5, 0, 0, 0, 4, 1)",65.0,1.6,rotation5
"(1, 2, 2, 2, 0, 5, 0, 0, 0, 4)",43.0,1.6,rotation6
"(4, 1, 2, 2, 2, 0, 5, 0, 0, 0)",229.0,1.6,rotation7
"(0, 4, 1, 2, 2, 2, 0, 5, 0, 0)",76.0,1.6,rotation8
"(0, 0, 4, 1, 2, 2, 2, 0, 5, 0)",25.0,1.6,rotation9
"(0, 0, 1, 0, 1, 0, 6, 3, 4, 2)",1.0,1.7,Unique
"(2, 0, 0, 1, 0, 1, 0, 6, 3, 4)",1.0,1.7,rotation1
"(4, 2, 0, 0, 1, 0, 1, 0, 6, 3)",5.0,1.7,rotation2
"(3, 4, 2, 0, 0, 1, 0, 1, 0, 6)",13.0,1.7,rotation3
"(6, 3, 4, 2, 0, 0, 1, 0, 1, 0)",277.0,1.7,rotation4
"(0, 6, 3, 4, 2, 0, 0, 1, 0, 1)",92.0,1.7,rotation5
"(1, 0, 6, 3, 4, 2, 0, 0, 1, 0)",61.0,1.7,rotation6
"(0, 1, 0, 6, 3, 4, 2, 0, 0, 1)",20.0,1.7,rotation7
"(1, 0, 1, 0, 6, 3, 4, 2, 0, 0)",13.0,1.7,rotation8
"(0, 1, 0, 1, 0, 6, 3, 4, 2, 0)",4.0,1.7,rotation9
"(0, 0, 1, 0, 1, 5, 3, 3, 1, 2)",13.0,1.6,Unique
"(2, 0, 0, 1, 0, 1, 5, 3, 3, 1)",17.0,1.6,rotation1
"(1, 2, 0, 0, 1, 0, 1, 5, 3, 3)",11.0,1.6,rotation2
"(3, 1, 2, 0, 0, 1, 0, 1, 5, 3)",29.0,1.6,rotation3
"(3, 3, 1, 2, 0, 0, 1, 0, 1, 5)",77.0,1.6,rotation4
"(5, 3, 3, 1, 2, 0, 0, 1, 0, 1)",821.0,1.6,rotation5
"(1, 5, 3, 3, 1, 2, 0, 0, 1, 0)",547.0,1.6,rotation6
"(0, 1, 5, 3, 3, 1, 2, 0, 0, 1)",182.0,1.6,rotation7
"(1, 0, 1, 5, 3, 3, 1, 2, 0, 0)",121.0,1.6,rotation8
"(0, 1, 0, 1, 5, 3, 3, 1, 2, 0)",40.0,1.6,rotation9
"(0, 0, 1, 0, 3, 1, 1, 5, 4, 2)",1.0,1.7,Unique
"(2, 0, 0, 1, 0, 3, 1, 1, 5, 4)",1.0,1.7,rotation1
"(4, 2, 0, 0, 1, 0, 3, 1, 1, 5)",5.0,1.7,rotation2
"(5, 4, 2, 0, 0, 1, 0, 3, 1, 1)",53.0,1.7,rotation3
"(1, 5, 4, 2, 0, 0, 1, 0, 3, 1)",35.0,1.7,rotation4
"(1, 1, 5, 4, 2, 0, 0, 1, 0, 3)",23.0,1.7,rotation5
"(3, 1, 1, 5, 4, 2, 0, 0, 1, 0)",61.0,1.7,rotation6
"(0, 3, 1, 1, 5, 4, 2, 0, 0, 1)",20.0,1.7,rotation7
"(1, 0, 3, 1, 1, 5, 4, 2, 0, 0)",13.0,1.7,rotation8
"(0, 1, 0, 3, 1, 1, 5, 4, 2, 0)",4.0,1.7,rotation9
"(0, 0, 1, 0, 4, 4, 2, 1, 3, 1)",17.0,1.6,Unique
"(1, 0, 0, 1, 0, 4, 4, 2, 1, 3)",11.0,1.6,rotation1
"(3, 1, 0, 0, 1, 0, 4, 4, 2, 1)",29.0,1.6,rotation2
"(1, 3, 1, 0, 0, 1, 0, 4, 4, 2)",19.0,1.6,rotation3
"(2, 1, 3, 1, 0, 0, 1, 0, 4, 4)",25.0,1.6,rotation4
"(4, 2, 1, 3, 1, 0, 0, 1, 0, 4)",133.0,1.6,rotation5
"(4, 4, 2, 1, 3, 1, 0, 0, 1, 0)",709.0,1.6,rotation6
"(0, 4, 4, 2, 1, 3, 1, 0, 0, 1)",236.0,1.6,rotation7
"(1, 0, 4, 4, 2, 1, 3, 1, 0, 0)",157.0,1.6,rotation8
"(0, 1, 0, 4, 4, 2, 1, 3, 1, 0)",52.0,1.6,rotation9
"(0, 0, 1, 1, 0, 0, 5, 4, 4, 1)",11.0,1.6,Unique
"(1, 0, 0, 1, 1, 0, 0, 5, 4, 4)",7.0,1.6,rotation1
"(4, 1, 0, 0, 1, 1, 0, 0, 5, 4)",37.0,1.6,rotation2
"(4, 4, 1, 0, 0, 1, 1, 0, 0, 5)",197.0,1.6,rotation3
"(5, 4, 4, 1, 0, 0, 1, 1, 0, 0)",2101.0,1.6,rotation4
"(0, 5, 4, 4, 1, 0, 0, 1, 1, 0)",700.0,1.6,rotation5
"(0, 0, 5, 4, 4, 1, 0, 0, 1, 1)",233.0,1.6,rotation6
"(1, 0, 0, 5, 4, 4, 1, 0, 0, 1)",155.0,1.6,rotation7
"(1, 1, 0, 0, 5, 4, 4, 1, 0, 0)",103.0,1.6,rotation8
"(0, 1, 1, 0, 0, 5, 4, 4, 1, 0)",34.0,1.6,rotation9
"(0, 0, 1, 2, 0, 4, 1, 2, 2, 4)",7.0,1.6,Unique
"(4, 0, 0, 1, 2, 0, 4, 1, 2, 2)",37.0,1.6,rotation1
"(2, 4, 0, 0, 1, 2, 0, 4, 1, 2)",49.0,1.6,rotation2
"(2, 2, 4, 0, 0, 1, 2, 0, 4, 1)",65.0,1.6,rotation3
"(1, 2, 2, 4, 0, 0, 1, 2, 0, 4)",43.0,1.6,rotation4
"(4, 1, 2, 2, 4, 0, 0, 1, 2, 0)",229.0,1.6,rotation5
"(0, 4, 1, 2, 2, 4, 0, 0, 1, 2)",76.0,1.6,rotation6
"(2, 0, 4, 1, 2, 2, 4, 0, 0, 1)",101.0,1.6,rotation7
"(1, 2, 0, 4, 1, 2, 2, 4, 0, 0)",67.0,1.6,rotation8
"(0, 1, 2, 0, 4, 1, 2, 2, 4, 0)",22.0,1.6,rotation9
"(0, 0, 1, 3, 0, 1, 3, 2, 2, 4)",7.0,1.6,Unique
"(4, 0, 0, 1, 3, 0, 1, 3, 2, 2)",37.0,1.6,rotation1
"(2, 4, 0, 0, 1, 3, 0, 1, 3, 2)",49.0,1.6,rotation2
"(2, 2, 4, 0, 0, 1, 3, 0, 1, 3)",65.0,1.6,rotation3
"(3, 2, 2, 4, 0, 0, 1, 3, 0, 1)",173.0,1.6,rotation4
"(1, 3, 2, 2, 4, 0, 0, 1, 3, 0)",115.0,1.6,rotation5
"(0, 1, 3, 2, 2, 4, 0, 0, 1, 3)",38.0,1.6,rotation6
"(3, 0, 1, 3, 2, 2, 4, 0, 0, 1)",101.0,1.6,rotation7
"(1, 3, 0, 1, 3, 2, 2, 4, 0, 0)",67.0,1.6,rotation8
"(0, 1, 3, 0, 1, 3, 2, 2, 4, 0)",22.0,1.6,rotation9
